user_id,signup_date,channel,country,device,age_band,ab_group
262,2025-11-02,app_store,PL,android,25-34,not_in_test
263,2025-12-19,organic,ES,ios,25-34,not_in_test
264,2026-08-03,organic,UK,android,45+,not_in_test
265,2026-08-27,organic,PL,ios,25-34,not_in_test
266,2026-03-31,paid_social,UK,android,25-34,control
267,2026-02-10,paid_social,UK,android,25-34,not_in_test
268,2026-01-05,organic,ES,android,35-44,not_in_test
269,2026-04-11,referral,PT,ios,25-34,treatment
270,2026-04-04,organic,PL,android,18-24,treatment
271,2025-12-17,referral,UK,ios,18-24,not_in_test
272,2025-09-09,app_store,ES,ios,25-34,not_in_test
273,2025-10-26,paid_social,UK,android,18-24,not_in_test
274,2026-08-15,paid_social,PL,android,35-44,not_in_test
275,2026-01-31,organic,UK,android,35-44,not_in_test
276,2026-02-23,organic,PL,ios,35-44,not_in_test
277,2026-02-18,referral,PL,ios,25-34,not_in_test
278,2026-06-12,paid_social,UK,ios,18-24,not_in_test
279,2025-09-24,organic,PL,ios,35-44,not_in_test
280,2025-10-01,app_store,PL,android,25-34,not_in_test
281,2025-12-10,referral,PT,android,25-34,not_in_test
282,2026-02-25,app_store,PL,ios,18-24,not_in_test
283,2026-05-03,paid_social,ES,ios,45+,not_in_test
284,2026-02-26,app_store,UK,ios,35-44,not_in_test
285,2026-02-08,organic,UK,ios,45+,not_in_test
286,2026-08-08,organic,UK,android,45+,not_in_test
287,2025-10-29,app_store,UK,ios,18-24,not_in_test
288,2026-03-28,app_store,PL,ios,35-44,treatment
289,2026-03-17,paid_social,UK,ios,25-34,control
290,2026-02-20,organic,UK,android,25-34,not_in_test
291,2026-06-21,organic,UK,ios,25-34,not_in_test
292,2025-12-07,referral,PL,ios,18-24,not_in_test
293,2026-08-14,app_store,PT,android,25-34,not_in_test
294,2025-12-30,organic,PL,android,25-34,not_in_test
295,2026-03-18,organic,ES,ios,18-24,control
296,2026-03-09,referral,UK,android,25-34,treatment
297,2026-07-07,referral,PL,ios,18-24,not_in_test
298,2026-02-07,paid_social,UK,android,35-44,not_in_test
299,2025-12-13,paid_social,ES,ios,18-24,not_in_test
300,2025-09-08,app_store,UK,ios,25-34,not_in_test
301,2026-01-11,organic,ES,ios,25-34,not_in_test
302,2026-06-28,paid_social,PT,ios,35-44,not_in_test
303,2025-09-04,paid_social,PL,ios,35-44,not_in_test
304,2026-07-24,paid_social,PL,ios,18-24,not_in_test
305,2026-03-17,app_store,UK,ios,25-34,treatment
306,2025-10-22,paid_social,UK,ios,25-34,not_in_test
307,2025-12-19,paid_social,ES,ios,45+,not_in_test
308,2026-03-21,organic,PT,ios,25-34,control
309,2025-12-24,referral,UK,android,35-44,not_in_test
310,2025-10-10,organic,UK,android,35-44,not_in_test
311,2026-05-01,organic,UK,android,35-44,not_in_test
312,2026-05-03,paid_social,PT,ios,18-24,not_in_test
313,2025-10-14,paid_social,PL,ios,18-24,not_in_test
314,2025-12-12,app_store,PT,ios,25-34,not_in_test
315,2025-11-28,referral,UK,android,25-34,not_in_test
316,2026-04-29,app_store,ES,ios,25-34,control
317,2026-05-24,organic,UK,android,25-34,not_in_test
318,2026-05-23,paid_social,UK,android,18-24,not_in_test
319,2026-08-08,app_store,ES,ios,35-44,not_in_test
320,2026-06-07,paid_social,PT,ios,18-24,not_in_test
321,2025-12-26,app_store,PL,ios,18-24,not_in_test
322,2025-10-10,paid_social,ES,android,18-24,not_in_test
323,2026-04-12,organic,UK,android,25-34,treatment
324,2026-07-31,paid_social,UK,ios,25-34,not_in_test
325,2026-08-21,organic,UK,ios,25-34,not_in_test
326,2025-11-23,organic,UK,android,25-34,not_in_test
327,2025-11-26,organic,PT,ios,25-34,not_in_test
328,2025-09-14,organic,PL,android,18-24,not_in_test
329,2025-10-22,paid_social,PL,ios,25-34,not_in_test
330,2026-03-21,app_store,PT,ios,35-44,treatment
331,2026-03-19,paid_social,UK,ios,25-34,control
332,2026-01-14,app_store,UK,android,18-24,not_in_test
333,2025-12-22,paid_social,UK,ios,18-24,not_in_test
334,2026-06-30,organic,PT,ios,25-34,not_in_test
335,2026-02-15,organic,PL,ios,18-24,not_in_test
336,2026-06-22,app_store,ES,android,45+,not_in_test
337,2026-08-17,paid_social,ES,ios,18-24,not_in_test
338,2025-12-25,app_store,PT,android,35-44,not_in_test
339,2025-11-13,organic,PT,android,18-24,not_in_test
340,2026-08-13,referral,PL,ios,18-24,not_in_test
341,2026-04-20,referral,ES,android,25-34,treatment
342,2025-12-15,app_store,PL,ios,18-24,not_in_test
343,2026-04-15,organic,UK,android,45+,control
344,2026-03-07,app_store,UK,ios,25-34,treatment
345,2026-07-27,paid_social,ES,android,35-44,not_in_test
346,2025-12-03,app_store,UK,android,18-24,not_in_test
347,2026-08-27,paid_social,PT,ios,18-24,not_in_test
348,2026-08-07,paid_social,ES,ios,35-44,not_in_test
349,2025-11-05,paid_social,UK,ios,18-24,not_in_test
350,2025-10-30,app_store,UK,ios,25-34,not_in_test
351,2026-03-14,organic,UK,android,35-44,control
352,2025-09-17,paid_social,PL,android,18-24,not_in_test
353,2025-12-18,paid_social,PT,ios,25-34,not_in_test
354,2026-02-06,referral,UK,ios,45+,not_in_test
355,2026-08-19,paid_social,PL,android,25-34,not_in_test
356,2026-08-28,referral,PL,ios,18-24,not_in_test
357,2025-10-26,paid_social,UK,android,45+,not_in_test
358,2026-07-22,referral,UK,ios,45+,not_in_test
359,2025-10-04,referral,UK,android,25-34,not_in_test
360,2026-05-31,referral,ES,android,35-44,not_in_test
361,2026-07-05,app_store,UK,ios,35-44,not_in_test
362,2026-07-22,paid_social,UK,ios,25-34,not_in_test
363,2025-11-21,organic,PL,ios,18-24,not_in_test
364,2026-07-23,referral,PT,ios,18-24,not_in_test
365,2025-10-13,organic,PT,android,18-24,not_in_test
366,2026-03-08,organic,PL,android,18-24,control
367,2026-02-18,referral,PL,android,18-24,not_in_test
368,2025-12-24,paid_social,PT,ios,18-24,not_in_test
369,2025-09-09,paid_social,ES,ios,18-24,not_in_test
370,2026-06-09,app_store,PL,ios,25-34,not_in_test
371,2026-01-01,organic,PT,ios,25-34,not_in_test
372,2026-04-29,organic,UK,ios,45+,treatment
373,2026-01-28,organic,PL,ios,25-34,not_in_test
374,2026-01-15,organic,ES,android,45+,not_in_test
375,2026-07-20,referral,UK,ios,18-24,not_in_test
376,2025-10-05,referral,UK,ios,18-24,not_in_test
377,2026-05-27,paid_social,PT,ios,35-44,not_in_test
378,2026-05-30,organic,ES,android,25-34,not_in_test
379,2026-01-17,paid_social,UK,android,25-34,not_in_test
380,2025-12-05,organic,ES,android,35-44,not_in_test
381,2025-09-02,referral,UK,ios,25-34,not_in_test
382,2026-08-07,paid_social,ES,ios,45+,not_in_test
383,2026-08-11,organic,ES,android,25-34,not_in_test
384,2025-11-27,app_store,PT,android,25-34,not_in_test
385,2025-09-12,referral,ES,android,25-34,not_in_test
386,2025-10-15,organic,ES,android,18-24,not_in_test
387,2025-09-25,paid_social,ES,ios,18-24,not_in_test
388,2026-06-30,paid_social,PL,ios,18-24,not_in_test
389,2026-07-22,organic,PL,android,35-44,not_in_test
390,2025-10-26,organic,UK,android,25-34,not_in_test
391,2026-05-30,referral,UK,ios,35-44,not_in_test
392,2025-11-05,app_store,PT,android,45+,not_in_test
393,2026-01-12,paid_social,UK,android,25-34,not_in_test
394,2026-04-07,paid_social,ES,ios,25-34,treatment
395,2026-05-21,paid_social,UK,ios,35-44,not_in_test
396,2026-07-16,paid_social,UK,ios,25-34,not_in_test
397,2025-09-17,organic,UK,ios,35-44,not_in_test
398,2025-11-11,paid_social,UK,android,35-44,not_in_test
399,2025-12-12,app_store,UK,android,25-34,not_in_test
400,2025-12-22,app_store,PL,ios,25-34,not_in_test
401,2026-08-30,app_store,UK,android,18-24,not_in_test
402,2026-06-10,organic,ES,ios,25-34,not_in_test
403,2025-12-26,paid_social,PL,android,18-24,not_in_test
404,2026-08-20,paid_social,PT,android,25-34,not_in_test
405,2026-03-01,organic,PT,android,35-44,treatment
406,2026-03-02,organic,UK,ios,18-24,control
407,2026-02-05,referral,UK,android,25-34,not_in_test
408,2025-10-23,referral,ES,android,25-34,not_in_test
409,2026-08-07,paid_social,PT,android,18-24,not_in_test
410,2025-09-06,organic,UK,android,18-24,not_in_test
411,2025-11-03,paid_social,PT,android,18-24,not_in_test
412,2025-11-23,organic,UK,ios,18-24,not_in_test
413,2025-12-11,organic,UK,ios,25-34,not_in_test
414,2025-10-18,paid_social,UK,ios,25-34,not_in_test
415,2025-09-07,organic,PT,ios,35-44,not_in_test
416,2026-05-05,app_store,UK,android,25-34,not_in_test
417,2026-08-19,paid_social,PL,ios,18-24,not_in_test
418,2025-10-15,organic,UK,ios,25-34,not_in_test
419,2025-12-17,organic,UK,android,25-34,not_in_test
420,2026-03-04,referral,UK,ios,25-34,control
421,2026-08-04,organic,PL,ios,25-34,not_in_test
422,2026-05-11,organic,ES,android,18-24,not_in_test
423,2026-06-06,paid_social,PT,android,25-34,not_in_test
424,2026-03-31,organic,UK,ios,18-24,control
425,2026-01-30,paid_social,UK,android,35-44,not_in_test
426,2025-11-12,paid_social,UK,ios,25-34,not_in_test
427,2026-07-12,organic,ES,ios,45+,not_in_test
428,2026-06-20,referral,PL,ios,25-34,not_in_test
429,2025-09-10,paid_social,ES,ios,25-34,not_in_test
430,2026-05-19,paid_social,UK,android,18-24,not_in_test
431,2025-10-01,organic,PL,android,18-24,not_in_test
432,2026-05-27,paid_social,PL,ios,25-34,not_in_test
433,2026-06-28,organic,PL,ios,25-34,not_in_test
434,2025-10-18,paid_social,PL,ios,25-34,not_in_test
435,2026-02-05,organic,UK,android,18-24,not_in_test
436,2025-10-16,app_store,PL,android,18-24,not_in_test
437,2026-03-26,organic,ES,android,25-34,control
438,2026-08-04,app_store,UK,ios,45+,not_in_test
439,2025-09-30,app_store,PT,android,25-34,not_in_test
440,2026-01-23,paid_social,ES,android,45+,not_in_test
441,2026-08-21,organic,PL,ios,45+,not_in_test
442,2025-12-19,paid_social,PL,ios,18-24,not_in_test
443,2025-10-19,app_store,UK,ios,45+,not_in_test
444,2026-02-25,paid_social,PT,ios,35-44,not_in_test
445,2026-03-05,paid_social,ES,ios,18-24,control
446,2026-04-30,organic,ES,ios,35-44,treatment
447,2025-12-24,app_store,UK,android,25-34,not_in_test
448,2026-08-14,organic,ES,ios,18-24,not_in_test
449,2026-03-09,organic,UK,ios,18-24,treatment
450,2025-12-14,organic,PL,android,35-44,not_in_test
451,2026-08-16,paid_social,UK,ios,25-34,not_in_test
452,2026-08-03,app_store,UK,ios,45+,not_in_test
453,2026-03-01,referral,PL,android,35-44,control
454,2025-09-10,organic,PL,ios,25-34,not_in_test
455,2026-04-06,paid_social,ES,ios,25-34,control
456,2026-03-22,referral,UK,ios,45+,control
457,2025-10-24,paid_social,ES,ios,25-34,not_in_test
458,2026-04-19,organic,PL,ios,35-44,control
459,2026-07-04,paid_social,UK,android,25-34,not_in_test
460,2025-10-09,paid_social,UK,android,35-44,not_in_test
461,2026-05-22,app_store,PT,ios,18-24,not_in_test
462,2025-10-22,referral,ES,ios,35-44,not_in_test
463,2026-05-31,organic,UK,ios,35-44,not_in_test
464,2026-01-31,referral,PL,android,25-34,not_in_test
465,2025-09-03,organic,PL,android,18-24,not_in_test
466,2026-08-18,app_store,PL,ios,18-24,not_in_test
467,2025-10-31,paid_social,PT,android,35-44,not_in_test
468,2026-04-05,organic,ES,ios,18-24,control
469,2025-11-06,paid_social,UK,android,35-44,not_in_test
470,2026-08-06,organic,UK,ios,25-34,not_in_test
471,2026-05-27,organic,UK,android,25-34,not_in_test
472,2026-06-20,paid_social,ES,android,18-24,not_in_test
473,2026-02-05,referral,PL,android,18-24,not_in_test
474,2026-02-18,app_store,UK,android,45+,not_in_test
475,2026-04-19,paid_social,PT,ios,25-34,control
476,2026-06-13,organic,PL,ios,35-44,not_in_test
477,2026-07-06,paid_social,UK,android,45+,not_in_test
478,2025-09-07,paid_social,UK,android,18-24,not_in_test
479,2026-04-30,organic,PT,android,18-24,control
480,2025-10-10,app_store,PT,android,25-34,not_in_test
481,2025-12-14,app_store,UK,ios,25-34,not_in_test
482,2026-06-29,organic,UK,ios,18-24,not_in_test
483,2025-12-01,referral,UK,android,25-34,not_in_test
484,2026-06-18,paid_social,PT,ios,25-34,not_in_test
485,2026-02-16,organic,UK,ios,18-24,not_in_test
486,2025-11-24,paid_social,UK,ios,25-34,not_in_test
487,2025-12-31,organic,UK,ios,25-34,not_in_test
488,2026-03-13,organic,ES,android,25-34,control
489,2026-06-06,app_store,PL,ios,25-34,not_in_test
490,2026-04-09,paid_social,UK,android,25-34,treatment
491,2026-08-06,organic,PL,android,35-44,not_in_test
492,2026-07-13,paid_social,PT,android,25-34,not_in_test
493,2026-06-02,app_store,ES,android,18-24,not_in_test
494,2026-04-08,paid_social,ES,ios,18-24,treatment
495,2025-12-15,app_store,PL,ios,18-24,not_in_test
496,2026-01-29,app_store,PL,android,35-44,not_in_test
497,2025-10-14,organic,UK,ios,25-34,not_in_test
498,2026-01-15,referral,PT,ios,25-34,not_in_test
499,2026-08-04,referral,PT,android,25-34,not_in_test
500,2026-02-03,referral,UK,android,25-34,not_in_test
501,2025-10-12,paid_social,PL,ios,25-34,not_in_test
502,2026-04-26,organic,UK,android,25-34,control
